text,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count
"Mario non aveva capito fosse in diretta
Mario ripete la filastrocca solo per Claudio 
Mario credeva fosse un video… https://t.co/FANnLkzMyN",2018-01-16 15:03:38,,it,,,12611,1853,Accadono cose che sono come domande.. Passa un minuto oppure anni e poi la vita ti risponde.,,811927294474326016,2016-12-22 13:32:06,False,False,,0,111,False,,124,True,Stefania,it,Stefania_Casto,False,F5F8FA,http://pbs.twimg.com/profile_images/953272774168072192/Y_mpu2d3_normal.jpg,,953281595934498817,0,False,Twitter for Android,False,0
"@chillontheshore I did. That was a... difficult read lol. So hard to look at, but equally as hard to look away.",2018-01-16 15:03:38,,en,,,243,155,the dark prince,,938486158979424256,2017-12-06 19:11:51,False,False,,0,37,False,,87,True,Ryan Asbridge,en,AsbridgeRyan,False,F5F8FA,http://pbs.twimg.com/profile_images/942398265701687296/qi3A31dX_normal.jpg,,953281595745669122,0,False,Twitter for iPhone,False,0
jub hr 1 31: https://t.co/TMahaLfH8M via @YouTube,2018-01-16 15:03:38,,da,,,1,1771,"APOSTLE JEAN MORRIS
Celebrating 50 years of ministry",U.S.A.,135417764,2010-04-21 07:21:12,False,False,http://www.ajmministries.com,0,21,False,-21600,2,False,Apostle Jean Morris,en,IGAPNetwork,False,0099B9,http://pbs.twimg.com/profile_images/781138185237573632/XH4J65N8_normal.jpg,Central Time (US & Canada),953281596324446209,0,False,Google,False,0
"Tengo que montar, estudiar, montar los micros, grabar y volver a casa. Puf",2018-01-16 15:03:38,,es,,,3699,3360,Asdasdasdasd,,4200137313,2015-11-16 07:35:40,False,False,,1,186,False,3600,194,False,Rising Kenko,es,KenkoRpg,False,000000,http://pbs.twimg.com/profile_images/933031587662397440/bkcQyLve_normal.jpg,Madrid,953281596957880320,0,False,Twitter Web Client,False,0
Buying a Car in California with Bad Credit...https://t.co/LsrlkQb6U4,2018-01-16 15:03:38,,en,,,42,14907,http://t.co/zhJsIZgp is the #online #auto #financing company that aims to get you affordable #car finance for either a #newcar or  #usedcar with any #credit.,"Seattle, Washington",91285715,2009-11-20 06:36:29,False,False,http://www.rapidcarloans.net,6,353,False,-28800,1317,False,Christina Williams,en,rapidcarloannet,False,EBEBEB,http://pbs.twimg.com/profile_images/873028895531859968/JJlVyiki_normal.jpg,Pacific Time (US & Canada),953281596710322179,0,False,Dynamic Tweets,False,0
@StateDept-Is there a thaw developing in North Korea-I hope so.,2018-01-16 15:03:38,,en,,,44,14738,"Born-Sept 8,31-2yrs Army MP; Ordained1960; Doctor/Canon Law; JudicialVicar; TheChristophersTV; Pres. St.JudeMedia; FaceBook John Catoir; Jesus came to bring JOY",messengerofjoy.com,1425003535,2013-05-13 08:38:23,False,False,http://johncatoir.com,84,4627,False,-18000,3611,True,"Fr. John Catoir, JCD",en,johncatoir,True,C0DEED,http://pbs.twimg.com/profile_images/683772971463254017/L-03vN8Z_normal.jpg,Eastern Time (US & Canada),953281596668481537,0,False,Twitter for iPhone,False,0
"Although you are moving into a fresh cycle of creativity, you’... More for Virgo https://t.co/4FQz9tUpCf",2018-01-16 15:03:38,,en,,,7,880,,,3369037625,2015-07-10 10:46:05,False,False,,0,20,False,,100,True,taliaturner,en,myloveisvirgo,True,C0DEED,http://pbs.twimg.com/profile_images/619458125821816832/1OKTnRVJ_normal.jpg,,953281597129633793,0,False,Twittascope,False,0
@fuckmariekill This.  Persuasion is generally not a healthy part of consensual sex.,2018-01-16 15:03:38,,en,,,674,1378,"Digital artist, analog thinker. Arranging pixels into pleasing patterns since 1993. Thanks for retweeting!","Asheville, NC",187700144,2010-09-06 22:59:53,False,False,http://www.curious3d.com,31,740,False,-18000,696,False,Cynthia Decker,en,Curious3D,False,0A285C,http://pbs.twimg.com/profile_images/909589254778572800/uafiXA5H_normal.jpg,Eastern Time (US & Canada),953281596953645058,0,False,Twitter Web Client,False,0
"Pq todos esos boludos no te causan nadaaaa, volve corriendo bebe a mi camaa",2018-01-16 15:03:38,,es,,,168,540,wp 2954-660427,"General Alvear, Mendoza",941361003580846080,2017-12-14 17:35:27,False,False,,0,39,False,,39,True,Guidoo,es,GuidoReyna2,True,F5F8FA,http://pbs.twimg.com/profile_images/950583268788899841/2CcAIAcF_normal.jpg,,953281597171732481,0,False,Twitter for Android,False,0
Honda launches the 2018 Super Cub with a K-Speed custom https://t.co/XWwTNqXBfy https://t.co/MyazTyDTIE,2018-01-16 15:03:37,,en,,,0,412,I'm an adventurous person. I love exploring the unknown.,,882224827796475904,2017-07-04 13:09:24,False,False,https://lifesyles.wordpress.com/,0,2,False,,22,True,Oliver Eliott,en,olivereliott80,False,F5F8FA,http://pbs.twimg.com/profile_images/885566335148843012/JfegziqM_normal.jpg,,953281594281938944,0,False,WordPress.com,False,0
